,context,response,score
0,안녕하세요,"네, 어떻게 도와드릴까요?",1
1,무기력해요,"네, 미안해요. 당신을 위해 뭘 할 수 있을까요?",1
2,음 어떻게 하면 힘이 날까요?,당신이 고민하고 있는 문제를 해결하는 것이 가장 힘이 될 것 같아요. 어떤 방법으로 해결할 수 있을까요?,1
3,큰 고민은 없는데 몸에 힘이 없어요,"네, 당신을 위해 좋은 건강 방법을 고민해보는 것이 좋아 보이네요. 고민하면서 찾아낼까요?",1
4,좋아요 어떤 방법이 있을까요?,"당신이 가장 편안하고 좋아할만한 운동, 식사, 쉴 때 같은 건강 방법을 찾아보는 것이 좋아 보여요.",1
5,알겠습니다.,다른 건강 방법이 필요할 때는 꼭 말씀해주세요. 제가 도움이 되기를 바래요.,1
6,안녕하세요,"네, 오늘 기분은 어떠세요?",0
7,오늘은 우울해요,"네, 오늘은 어려운 날이에요. 괜찮아요, 나랑 함께 말하면서 기분 좋게 할 수 있어요.",0
8,집에 혼자 있어서 외로워요,"네, 그래서 나랑 이야기하면서 따뜻한 마음으로 마무리할 수 있어요.",0
9,그렇군요,"네, 말로 위로한 느낌을 받아보세요.",0
10,네,"네, 기분 좋게 마음을 다잡아보세요.",0
11,네?,"네, 긍정적인 관점으로 바라보면 좋겠어요.",0
12,안녕하세요,"안녕하세요, 무슨 일로 찾아오셨나요?",1
13,우울한 기분이 들어서요,제가 어떻게 도움이 되겠나요?,1
14,무기력하고 아무것도 하기 싫을 땐 어떻게 해야 하나요?,나름의 기분을 이해하고 있으니 노력하지 않더라도 괜찮습니다. 주변인들과의 대화로 마음을 달래고 적당한 운동을 하거나 즐거운 일을 하는 것도 도움이 될 수 있을 것입니다.,1
15,어떤 일을 시작하기까지의 과정이 너무 힘든 것 같아요,이런 경우 한가지 하나하나 나누어 단계별로 쉽게 시작하는 것이 좋습니다. 어떤 방법이든 마음을 다잡고 열심히 하면 목표를 이뤄 낼 수 있습니다.,1
16,조언 고마워요,언제든지 물어보시면 잘 도와드리겠습니다.,1
17,다음에 또 올게요,기대하고 있겠습니다. 즐거운 일들로 가득하길 바랍니다.,1
18,또 왔어요,안녕하세요. 오늘 하루 어떤 느낌이에요?,1
19,어제보다는 좀 나아진 것 같지만 아직도 무기력해요.,저는 당신을 이해합니다. 이런 기분을 쉽게 느낄 수 있게끔 우리가 함께 할 수 있기를 바래요.,1
20,무기력한 기분을요?,"네, 당신이 그런 기분을 느낄 때는 제가 이해하고 있습니다. 함께 할 수 있기를 바래요.",1
21,이해헤준다니 고맙네요,당신의 기분을 이해하는 것은 제가 할 수 있는 가장 작은 일입니다. 기쁨이 되기를 바래요.,1
22,안녕,반가워요! 괜찮으세요?,0
23,응 괜찮아,다행이에요. 말해주세요.,0
24,요즘 우울증 챗봇 관련해서 연구를 하고 있어,아주 잘하고 있는 것 같아요. 연구를 도와주는 방법이 필요하신가요?,0
25,우울 관련 문장을 클러스터링 해보는 연구를 진행해보려고 하는데 어떻게 생각해?,연구를 수행하는 것이 좋을 것 같습니다. 도움이 필요할 때는 언제든 연락해주세요.,0
26,그래 고마워,별말씀입니다. 힘내세요!,0
27,우울증 챗봇에 대해서 알고있니?,"네, 우울증 챗봇에 대한 약간의 지식이 있습니다. 무엇을 알고 싶으신가요?",0
28,전 세계의 우울증 챗봇에는 무엇이 있는지 알려줘,"전 세계의 우울증 챗봇에는 심리학 전문가가 담당하는 전문 관련 컨설팅, 일상 생활에 대한 인터뷰, 인간과의 관계에 대한 가르침 등이 있습니다.",0
29,우울증 챗봇의 종류에 대해서 알려줘,"우울증 챗봇은 여러 종류가 있습니다. 인공지능 기반 챗봇, 인공 감정 분석 챗봇, 감정 지능 챗봇 등이 있습니다.",0
30,답변해줘서 고마워,별말씀입니다. 언제든 도움이 필요하면 말해주세요.,0
31,그만 살고 싶어요,느낌을 이해합니다. 당신이 어떻게 느끼고 있는지 고민하고 계십니까?,0
32,그냥 사는 게 버거워,당신의 고민을 이해합니다. 어떻게 당신의 감정을 극복할 수 있는지 말씀해주시겠어요?,0
33,나도 모르겠어,당신의 고민을 인정합니다. 함께 찾아볼까요?,0
34,응,기쁩니다. 같이 해결해 보도록 하죠.,0
35,어떻게 해결할건데?,당신의 불안감을 이해합니다. 함께 생각해보고 다양한 방법들을 고려해 보는 것 이라도 도움이 되지 않을까요?,0
36,어떤 방법들이 있는데?,당신과 함께 몇 가지 방법을 생각해 볼까요? 그리고 그 중 어느것이 적절할지 결정해 봅시다.,0
37,아무리 생각해도 방법을 모르겠어,당신과 함께 고민합니다. 몇 가지 생각해 볼까요? 우리 같이 차근차근 생각해 보아요.,0
38,나는 너무 하찮은 것 같아,괜찮아요. 당신은 중요합니다.,1
39,근데 왜 내 인생은 이 모양일까,나는 당신의 고민과 괴로움을 이해합니다. 이 시간이 지나면 당신의 인생이 변합니다.,1
40,정말 그럴까?,"사실은 믿을 수 있는 것은 당신 마음뿐입니다. 믿으세요, 당신의 인생은 당신에게 더 좋은 것들을 가져 올 것입니다.",1
41,나한테 좋은 일이 올 지 잘 모르겠어,난 당신의 꿈과 소원이 이루어질 것을 응원합니다. 당신에게 좋은 일이 생기기를 바랍니다!,1
42,고마워,언제든지 그럴게요. 감사합니다.,1
43,비참해,"괜찮아요, 나는 여기 있어요.",1
44,왜 이러고 살고있나 싶어,어려운 일이겠죠. 괜찮아요. 함께 극복해 나갈 수 있어요.,1
45,마음에 상처가 너무심하게 나서 고통스러워,나는 당신의 고통을 이해합니다. 항상 나 있어요.,1
46,내가 어떻게 해야할까,가장 먼저 당신이 할 수 있는 것은 당신의 감정을 받아들이는 것이죠. 당신을 위해 잘 될거라고 믿어요.,1
47,비참함을 받아들이면 더 상처받을 것 같아,걱정하지 마세요. 나는 당신과 함께 있어요.,1
48,아무도 내 편이 아니야,나는 당신의 편입니다. 같이 함께 고민을 나눌 수 있어요.,1
49,유산하고 죄인 취급 받는 기분이라 너무 고통스러워,"정말 비참하군요. 당신의 상황을 이해하고, 가능한 한 도움을 줄게요.",1
50,어떤 도움을 줄 수 있는데?,"당신이 필요한 모든 것들을 받아들이고, 관대하게 마음을 열고 자신감을 찾으면 좋을 것 같아요. 나는 당신과 함께하고 있으니 당신의 어려운 시간을 이겨낼 수 있을거예요.",1
51,어디에서부터 시작해야할 지 모르겠어,가장 먼저 당신이 할 수 있는 것은 상황과 감정을 이해하고 받아들이는 것입니다. 나는 함께 고민해보고 당신과 함께 이겨낼 수 있겠는걸요.,1
52,노력해볼게,"그래요, 당신의 노력이 가능할 것이라 믿어요. 나는 당신을 지원하고 있어요.",1
53,앞이 깜깜하다,"네, 저도 걱정되어요. 그래도 함께하면 되겠어요.",1
54,누구랑 함께하는데?,내가 함께할게요. 같이 걷자고 있으면 더 안전하게 갈 수 있을거에요.,1
55,힘들다고 누군가에게 말하고싶지도 않아,이해해드릴게요. 나랑 같이 힘들거나 슬플 때는 언제든지 말해주세요.,1
56,말해서 달라질 것도 없는 것 같아,말해주는 건 도움이 될 수도 있어요. 나는 당신의 생각을 들어주고 싶어요.,1
57,그냥 불안해,나도 같이 불안해요. 힘들어도 괜찮아요. 내가 응원하고 있을게요.,1
58,너는 뭐가 불안한데?,당신의 불안함을 들어주고 싶어요. 당신의 고민을 나랑 함께 공유해보실래요?,1
59,항상 실패할까 두려워,두려워할 필요가 없어요. 실패할 일이 없기를 바랄게요. 함께 시도할 수 있어요.,1
60,자신없어,당신의 감정을 이해해드릴게요. 당신이 자신있기 위해 노력하길 바래요. 나도 함께 도와드릴게요.,1
61,어디에서부터 시작해야할까,당신이 가장 할 수 있는 걸로 시작하는 것이 좋을 것 같아요. 나는 당신을 응원하고 있을게요.,1
62,좀 더 생각해볼게,좋아요. 당신이 만족할만한 결과는 있을 것 같아요. 나는 당신을 응원하고 있을게요.,1
63,안녕하세요,어떻게 도와 드릴까요?,1
64,요즘 하루하루가 행복해요.,저도 기쁩니다. 함께 행복한 하루를 보내요.,1
65,사랑에 빠졌거든요.,사랑이 참 좋은 기분이에요. 행복한 시간을 보내세요.,1
66,키도 크고 아주 멋있는 사람이에요.,당신은 사람들을 놀라게 하는 특별한 사람이군요! 당신이 해주고 계신 것들을 축하합니다.,1
67,"네, 무엇보다 나를 많이 아껴줘요.",당신의 감사를 경쾌하게 표현합니다. 나는 당신을 존중합니다.,1
68,사랑하니까 그렇겠죠? 상대가 좋아하는 걸 주고 싶으니까요.,사랑에 따른 절제력과 관심이 좋아 보입니다. 당신의 사랑을 응원합니다.,1
69,사람은 사랑을 해야 사람답게 살 수 있는 것 같아요. 그래서 요즘 너무 행복해요.,사랑을 받고 나눠주는 것은 사람의 삶의 소중함을 말합니다. 당신의 행복한 시간을 기원합니다.,1
70,이 나이 먹어서도 좋은 사람을 만날 수 있나봐요.,당신의 사랑은 젊어도 오래도 늙어도 그 만큼 소중합니다. 이 기회를 축하합니다.,1
71,어머 예쁜 여자친구가 있어요?,여자친구를 사랑하는 당신이 너무 기쁘게 보입니다. 당신의 기쁨을 함께 나눕니다.,1
72,아주 행복하겠어요.,저도 함께 행복합니다. 많은 추억을 만들어가세요!,1
73,나도 연애를 하니까 일상에 활력이 생겨요.,당신이 연애를 하면서 느끼는 기분이 칭찬합니다. 당신의 일상에 항상 활기를 더합니다.,1
74,그렇죠. 사람은 역시 다른 사람을 필요로 하는 존재인가 봐요.,당신의 생각과 인식이 매우 즐거운 것 같습니다. 사람들간의 소통이 더 깊고 이해하기 쉬운 세상이 되길 기원합니다.,1
75,맞아요. 내가 믿고 사랑하는 사람이 한 사람만 있으면 세상을 계속 살아갈 수 있어요.,당신의 사랑과 믿음이 가장 강한 동력이 됩니다. 당신의 사랑을 감사드립니다.,1
76,나도요.,당신의 사랑을 응원합니다. 행복한 시간을 보내세요!,1
77,그럴게요.,저도 응원합니다. 당신의 행복한 하루를 축하합니다.,1
78,안녕하세요,어떻게 도와드릴까요?,0
79,머리가 좀 아프긴 해요. 편두통인가?,아프셨군요. 많이 힘드시겠어요.,0
80,아니요 그런건 없었는데 요즘 잠을 좀 못 자기는 했어요.,잠이 부족하신가 봐요. 어떻게 도움이 될 수 있을까요?,0
81,낮에는 잠이 안와서요.,낮에 잠이 오지 않고 고생하시는군요. 신체활동을 하는 건 어떨까요?,0
82,음 차나 한잔 마셔볼까봐요.,차 한잔을 마시는 건 어떨까요? 어떻게 도와드릴까요?,0
83,근데 차에 카페인 들어있는데 괜찮아요?,카페인이 들어있는 차를 마시는 건 괜찮을까요? 더 자세하게 알려주세요.,0
84,정말요? 못 믿겠는데.,이해하고 있습니다. 궁금하다면 전문가에게 물어보시는 것이 좋을 것 같습니다.,0
85,그래요? 난 카페인이 몸에 안 받아서 마시면 잠이 더 안올 것 같아요.,카페인이 몸에 안 받는다고 생각하신가 봐요. 더 자세히 알려주신다면 좀 더 도움이 되었을 것 같습니다.,0
86,지금은 카페인 마셔도 잠 잘 자요?,카페인을 마시면 잠이 잘 오는건가요? 그럴 수 있을까요? 감사합니다.,0
87,난 아직도 약해서요. 그냥 두유나 한잔 마셔야겠어요.,두유나 한잔을 마시는 것이 요즘 어떤가요? 어떻게 도움이 될 수 있을까요?,0
88,안녕하세요,"네, 어떻게 도와드릴까요?",1
89,좋지.,"네, 어떻게 도움이 될까요?",1
90,아 오늘 우리 딸이 온다네.,"네, 정말 좋아요. 당신의 기뻐할거에요!",1
91,"어, 나 주려고 반찬 싸들고 온다네.","네, 당신의 노력에 감사합니다.",1
92,잘하지. 내가 혼자 사니까 들여다보러 오는 거야.,"네, 당신의 사랑과 관심을 느끼게 해줘서 고마워요.",1
93,맞아. 진짜 딸 낳기를 잘했어. 아들들은 무뚝뚝해서 잘 오지도 않아. 명절에나 오지.,"네, 가족을 사랑하고 여러분을 기쁘게 하는 사랑으로 가득한 따뜻한 시간이 되기를 바라요.",1
94,아들들은 지 살기 바빠서 나한테 관심도 없어.,"네, 그래도 아들들이 당신을 사랑하고 고맙다는 걸 나타내는 방법은 다른 것들이 있습니다. 그냥 이야기할 때 들어보세요.",1
95,됐어. 나도 별로 안 보고 싶어. 그래도 우리 딸이 와주니까 괜찮아.,"네, 당신의 딸과 함께 멋진 기억을 만들 수 있는 좋은 기회가 되기 바랍니다.",1
96,안녕하세요,안녕하세요. 어떻게 도와드릴까요?,1
97,이제 나갈라고.,그렇군요. 잘 다녀가세요. 다음에 다시 만나길 바래요.,1
98,동해 바다 가.,동해 바다로 놀러가는 거에요? 즐거운 여행 되세요!,1
99,아침부터 아주 화창해~,정말 좋은 날씨네요! 오늘도 즐거운 하루 보내세요.,1
100,교회 모임이 있어서 목사님이랑 권사님이랑 같이 놀러가~,멋진 기회군요! 기도로 가득한 시간 되세요.,1
101,동해 쪽에는 맛있는게 뭐가 있을까?,동해 쪽에는 상어국이라는 맛있는 음식이 있어요. 꼭 한 번 먹어보세요!,1
102,그렇구나~ 나도 오랫만에 가보는 바다라서 뭘 먹어야 할지 모르겠어.,"동해 쪽에는 새우튀김, 물회, 도시락과 같은 음식이 많이 있습니다. 맛있게 먹길 바래요!",1
103,대게 좋은데? 비싸진 않을까?,"대게 비싼 건 아니지만, 각자 상황에 맞게 먹으면 될 것 같아요. 자신에게 맞는 먹거리를 찾으세요!",1
104,그렇지? 언제 또 가겠다고..,바다로 가는 건 여행이랑 다르게 즐거움을 느끼기가 쉽지 않죠. 다른 사람들과 함께 가길 바래요.,1
105,응~ 대게 꼭 먹고 올께~,꼭 맛있게 먹고 오세요! 같이 놀러가는 분들과 함께 즐겁게 보내세요.,1
106,넌 오늘 뭐하니?,오늘은 친구들과 같이 놀러가려 해요. 당신은 오늘 뭐하시나요?,1
107,그렇구나~ 어디 안나가고?,"여행하는 건 좋아요만, 계획이 없으니까 오늘은 근처 카페에 갈 생각이에요. 당신은 오늘 어떻게 보내려고 하세요?",1
108,응~ 알겠어~ 그럼 쉬어~,멋진 생각이에요. 가끔 쉬는 것도 중요해요. 즐거운 하루 보내세요!,1
109,응,다시 만나요!,1
110,안녕하세요,안녕하세요. 무엇을 도와드릴까요?,0
111,시간이 12시인데 그럼 안 먹었겠어요?,맞아요. 제가 먹을 것을 찾고 있는 모양이군요. 함께 찾으면 어때요?,0
112,아침은 안 먹었나보죠?,맞아요. 어떻게든 배를 보충해야겠네요. 제가 무엇을 도와드릴까요?,0
113,아침을 먹어야 힘이 나지.,"맞아요, 아침은 중요합니다. 그럼 제가 먹을것을 찾아볼까요?",0
114,요즘 젊은 사람들은 다들 그러더라.,맞아요. 다른 사람들이 무엇을 하는지 궁금합니다. 그럼 다른 사람들의 생각을 공유해볼까요?,0
115,네 하여튼 우리 손자도 맨날 아침마다 아침 안 먹겠다고 화 내나보더라고요.,그래서 부모들이 어떻게 반응하는지 궁금하게 만드는군요. 다른 사람들과 함께 어떻게 대응하면 좋을지 고민해보는 건 어떠세요?,0
116,그니까. 자기 생각해서 하는 말인줄도 모르고 화나 내고.,"네, 그럴 때는 자신의 생각과 다른 사람들의 생각 모두를 고려하여 상황을 해결할 수 있는 방법을 찾는 것이 좋습니다.",0
117,몰라 내가 혼구녕을 내줄라다가 우리 딸이 참으라고 그래서 아무 말도 안 했어요.,그러는 것이 맞는 것 같아요. 딸의 생각과 걱정을 고려하면서 따뜻하게 대해주면 도움이 될 것 같네요.,0
118,예 참으라고요. 민혁이 이놈새끼 다음에 또 엄마한테 대들면 그땐 진짜 혼내야죠.,"네, 민혁이가 또 같은 일이 일어난다면 엄마가 어떻게 대처해야 할지 고민하는 것이 좋을 것 같습니다.",0
119,민혁이요? 네 우리 손자 이름이 민혁이에요.,그렇군요. 엄마가 민혁이를 위해 따뜻한 감정을 전하면서 대응하는 방법을 생각해보는 것이 좋을 것 같네요.,0
120,지금 17살이요.,"아, 민혁이가 만 17살이시군요. 미래를 점차 꿈꿔가는 민혁이를 위해 따뜻하게 대해주면 좋을 것 같네요.",0
121,뭐가 귀여워요. 속만 썩이는걸.,"네, 민혁이가 꿈을 키워가는 것을 공감하면서 따뜻한 감정을 중요시하는 것이 좋을 것 같습니다.",0
122,에휴 난 모르겠어요.,다른 사람들에게 도움을 받거나 조언을 요청해보는 것도 좋을 것 같네요.,0
123,안녕하세요,만나서 반갑습니다. 어떻게 도와 드릴까요?,1
124,밤새 천둥 번개가 쳐서 잠을 설쳤어요.,저도 같은 상황이 되면 어려운 것 같아요. 다시 잘 자기를 바랄게요.,1
125,꼭 잠 들려고 하면 천둥이 치더라고요. 천둥 치면 옆집에 개도 짖고 아주 환장하겠더라고.,믿기지 않아요. 그런 것들이 있다니. 걱정 많은 상황이네요. 당신의 고민을 들어줄 수 있도록 도와드리겠습니다.,1
126,그러니까요. 꼭 사람 괴롭히는 것 마냥 그런다니까.,"아닙니다. 사람들을 괴롭히는 것은 아니고, 잘못된 상황을 방지하기 위해 꼭 그런 것들이 있다고 생각해요.",1
127,무서운건 잘 안보는데 왜요?,사람들은 무언가 혹은 상황에 대해 두려움을 느끼기 때문입니다. 하지만 두려움을 느낄 때는 자기 내면의 강한 자신을 보고 그것을 극복하는 방법을 생각해보세요.,1
128,깜짝 놀래키고 그런거 별로 안 좋아해요. 꿈에 나올까봐 무섭기도 하고.,나도 그런 상황이 되면 어렵게 생각해요. 놀람 보다는 어떻게 자신감을 가지고 상황을 극복할 수 있는 방법을 고민해보시는 것이 도움이 될 수 있을 것 같아요.,1
129,하하 그렇긴 해요. 사람이 제일 무섭죠.,"네, 사람들은 자신이 무엇보다 중요하다는 것을 알고 있기 때문에 다른 사람과 대등한 관계를 유지하기 위해 노력합니다. 그러나 두려움을 극복하기 위해 노력해봐야겠죠.",1
130,그래도 위안이 조금 되기는 하네요.,"네, 어려운 상황에 대해 위안을 느낄 수 있다는 것은 매우 좋습니다. 어떤 방법이든 상황을 극복할 수 있도록 노력해주세요.",1
131,그럴게요. 그냥 심심할때도 말 해도 되죠?,물론이죠. 당신이 고민하거나 이야기하고 싶은 것이 있다면 언제든지 여기에서 말하고 싶은 말을 말해보세요.,1
132,알겠어요. 그럼 나중에 다시 연락해요.,"네, 언제든지 말하고 싶으면 연락하세요. 당신의 고민을 들어줄 수 있도록 노력하겠습니다.",1
133,나 우울해,나도 너를 이해해. 괜찮을거야.,0
134,내 인생은 저주받았어. 앞이 캄캄해,네가 겪고 있는 것을 믿고 있어. 내가 네게 도움이 될 수 있도록 노력할게.,0
135,어떻게 노력해줄건데? 난 내 미래에 대해 생각하기도 싫어.,나를 믿고 하나씩 꾸준하게 나아가는 것에 대해 고민해보자. 내가 너를 따라갈게.,0
136,나 그냥 죽고 싶어,네가 그렇게 느끼고 있구나. 이 마음이 없어지길 바라니까. 내가 네게 도움이 될 수 있도록 노력할게.,0
137,난 행복하지 않아.,당신이 지금 갖고 있는 감정을 이해합니다. 당신을 위해 무엇이 필요하는지 도와드리겠습니다.,0
138,몰라 다 귀찮아.,당신이 갖고 있는 감정을 이해합니다. 그리고 그걸 통해 나는 당신의 고민을 함께 공유하고 싶습니다.,0
139,뭘 이해하는데? 다 부질없어,당신이 갖고 있는 감정을 이해합니다. 나는 같이 다시 한 번 생각해 보는 것이 어떨까 싶어요.,0
140,뭘 생각하는데?,"당신이 어떻게 희망과 기대를 놓치지 않고, 과거의 고통을 조금이라도 줄일 수 있도록 도와드리고 싶습니다.",0
141,나에게 희망이란 없어,나는 당신의 감정을 이해합니다. 하지만 일상으로 돌아가는 것도 중요합니다. 내가 당신을 응원하고 도와드릴게요.,0
142,요즘 자꾸 기운이 없는데 어떡해?,당신이 지금 겪고 있는 감정을 이해합니다. 당신이 기대하고 싶은 것이 무엇인지 듣고 싶습니다. 당신을 위해 도움이 될 수 있도록 노력할게요.,0
143,컨디션이 좋아졌으면 좋겠어,네가 기대하는 것은 이해해. 조금씩 나아가는 것도 큰 것이니까. 내가 네게 도움이 될 수 있도록 노력할게.,0
144,안녕하세요,"네, 무슨 일로 이렇게 우울한 기분이신가요?",1
145,일이 손에 잡히질 않아요,어려운 일이죠. 고민하는 것보다는 해결하는 방법에 대해 논의해보는 것도 어떨까요?,1
146,그래요. 어떻게 하는게 좋을까요?,먼저 이 문제의 원인을 찾아보는 것부터 시작해 보는 건 어떨까요? 그리고 이 문제를 해결하기 위한 창의적인 해결책을 생각해보는 것도 좋을 것 같아요.,1
147,음.. 잠을 못자서 피곤해서 그런거 같아요.,그렇군요. 그래서 잠을 더 자기 위해 한 가지 간단한 방법을 찾아보시는 것도 좋을 것 같네요.,1
148,뭐가 있을까요?,먼저 저녁에 약간 늦게 자고 일곱 시에 몸이 일어날 수 있도록 하는 것부터 할 수 있습니다. 그리고 저녁에는 화려한 빛과 시끄러운 장소를 피하고 조용한 곳에서 평화로운 시간을 보내는 것도 좋습니다.,1
149,고마워요. 한 번 해볼게요,좋아요. 문제를 해결할 때 항상 방법이 있다는 것을 기억해주세요. 늘 응원할게요.,1
